Date,State,Confirmed,Recovered,Deaths,Vaccinations
2020-01-01,Maharashtra,16795,15789,659,81820
2020-01-01,Delhi,7265,5675,89,49131
2020-01-01,Uttar Pradesh,17023,14983,208,64735
2020-01-01,Karnataka,3433,2699,59,58707
2020-01-01,Tamil Nadu,20769,17756,566,30658
2020-01-01,Gujarat,19942,15512,432,64150
2020-01-02,Maharashtra,1189,913,41,72435
2020-01-02,Delhi,2267,1968,26,8890
2020-01-02,Uttar Pradesh,42606,33407,536,15627
2020-01-02,Karnataka,9792,9235,414,81552
2020-01-02,Tamil Nadu,24897,19159,930,28483
2020-01-02,Gujarat,49555,42073,563,85077
2020-01-03,Maharashtra,36920,29600,1347,24457
2020-01-03,Delhi,2021,1725,64,45757
2020-01-03,Uttar Pradesh,10692,10092,438,70697
2020-01-03,Karnataka,38065,35361,1291,16534
2020-01-03,Tamil Nadu,30127,26032,928,94789
2020-01-03,Gujarat,25276,20921,527,14268
2020-01-04,Maharashtra,22271,18292,472,13571
2020-01-04,Delhi,40976,33160,680,53984
2020-01-04,Uttar Pradesh,41774,34867,1077,7695
2020-01-04,Karnataka,49190,44915,1882,18986
2020-01-04,Tamil Nadu,13666,10451,332,57251
2020-01-04,Gujarat,23662,21769,662,57256
2020-01-05,Maharashtra,24599,20273,904,89651
2020-01-05,Delhi,11965,11096,345,13110
2020-01-05,Uttar Pradesh,14773,13587,574,11910
2020-01-05,Karnataka,46453,39427,1435,92054
2020-01-05,Tamil Nadu,23361,17639,334,55015
2020-01-05,Gujarat,42523,36682,1608,85356
2020-01-06,Maharashtra,41342,36004,1306,38827
2020-01-06,Delhi,17198,13895,282,48585
2020-01-06,Uttar Pradesh,44689,40739,1579,7693
2020-01-06,Karnataka,30467,27747,532,53925
2020-01-06,Tamil Nadu,43941,37695,1858,20707
2020-01-06,Gujarat,22976,18693,330,71842
2020-01-07,Maharashtra,7776,7104,345,63053
2020-01-07,Delhi,22959,19671,674,18545
2020-01-07,Uttar Pradesh,1663,1560,38,73840
2020-01-07,Karnataka,47576,38098,945,70318
2020-01-07,Tamil Nadu,45417,40532,723,98264
2020-01-07,Gujarat,27736,26219,733,5854
2020-01-08,Maharashtra,25548,20924,903,51717
2020-01-08,Delhi,22556,19125,1114,92455
2020-01-08,Uttar Pradesh,5931,4544,147,17688
2020-01-08,Karnataka,26342,23987,758,70733
2020-01-08,Tamil Nadu,24509,21008,333,30184
2020-01-08,Gujarat,28848,23486,503,20708
2020-01-09,Maharashtra,27370,23762,1015,77082
2020-01-09,Delhi,35754,32604,856,72270
2020-01-09,Uttar Pradesh,19227,18036,498,93614
2020-01-09,Karnataka,36153,33171,1338,78656
2020-01-09,Tamil Nadu,40384,31976,1278,65713
2020-01-09,Gujarat,31306,24910,532,95735
2020-01-10,Maharashtra,42976,36672,878,36616
2020-01-10,Delhi,39191,36960,1267,34855
2020-01-10,Uttar Pradesh,8158,6671,195,20151
2020-01-10,Karnataka,2154,1984,56,64040
2020-01-10,Tamil Nadu,13183,12130,625,10539
2020-01-10,Gujarat,43405,38361,1442,7557
2020-01-11,Maharashtra,39360,34743,401,51975
2020-01-11,Delhi,22357,19221,842,66135
2020-01-11,Uttar Pradesh,47760,37500,512,96412
2020-01-11,Karnataka,22295,20049,802,51214
2020-01-11,Tamil Nadu,34986,30840,1145,75091
2020-01-11,Gujarat,42914,35341,884,11893
2020-01-12,Maharashtra,15373,14539,453,10895
2020-01-12,Delhi,20738,17355,497,44790
2020-01-12,Uttar Pradesh,42919,39607,824,79543
2020-01-12,Karnataka,46714,40379,1903,78744
2020-01-12,Tamil Nadu,19589,18429,912,52202
2020-01-12,Gujarat,33635,25330,1585,5301
2020-01-13,Maharashtra,46236,39969,2275,70726
2020-01-13,Delhi,11492,9504,506,90314
2020-01-13,Uttar Pradesh,27641,23808,1311,71105
2020-01-13,Karnataka,39210,33877,544,77991
2020-01-13,Tamil Nadu,5014,4753,78,87074
2020-01-13,Gujarat,11729,10854,464,83069
2020-01-14,Maharashtra,41111,35378,898,54689
2020-01-14,Delhi,39754,31852,1369,93891
2020-01-14,Uttar Pradesh,23009,17280,807,7368
2020-01-14,Karnataka,13039,11609,545,96083
2020-01-14,Tamil Nadu,23386,19120,585,83657
2020-01-14,Gujarat,11966,10582,276,57921
2020-01-15,Maharashtra,23677,20555,265,75313
2020-01-15,Delhi,30749,26364,709,85135
2020-01-15,Uttar Pradesh,20508,16494,996,92142
2020-01-15,Karnataka,22699,20846,403,37093
2020-01-15,Tamil Nadu,5142,4575,79,99476
2020-01-15,Gujarat,38233,32622,876,91672
2020-01-16,Maharashtra,9311,7487,256,30945
2020-01-16,Delhi,26316,20707,348,6150
2020-01-16,Uttar Pradesh,24944,22142,307,99841
2020-01-16,Karnataka,17896,15005,350,10237
2020-01-16,Tamil Nadu,21056,18572,446,8343
2020-01-16,Gujarat,14500,13014,466,64638
2020-01-17,Maharashtra,9130,7299,221,18284
2020-01-17,Delhi,8253,6213,120,59340
2020-01-17,Uttar Pradesh,45078,34175,1993,65403
